,id,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
10,3NfxSdJnVdon1axzloJgba,I Say a Little Prayer,Aretha Franklin,Aretha Now,0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,audio_features,spotify:track:3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/tracks/3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/audio-analysis/3NfxSdJnVdon1axzloJgba,216773,4
11,11HU8slSsF0SkFQh9aIkPZ,Time After Time,Cyndi Lauper,48 No. 1 Hits,0.721,0.433,0,-9.763,1,0.0284,0.606,1.89e-06,0.0984,0.322,130.584,audio_features,spotify:track:11HU8slSsF0SkFQh9aIkPZ,https://api.spotify.com/v1/tracks/11HU8slSsF0SkFQh9aIkPZ,https://api.spotify.com/v1/audio-analysis/11HU8slSsF0SkFQh9aIkPZ,232160,4
12,1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,Just As I Am,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,audio_features,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/tracks/1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/audio-analysis/1k1Bqnv2R0uJXQN4u6LKYt,125093,4
13,4gRA0i5sxx3jAhHaVjPnUN,Use Me,Bill Withers,Still Bill,0.758,0.586,11,-13.461,0,0.056,0.033,0.0028,0.0743,0.947,154.629,audio_features,spotify:track:4gRA0i5sxx3jAhHaVjPnUN,https://api.spotify.com/v1/tracks/4gRA0i5sxx3jAhHaVjPnUN,https://api.spotify.com/v1/audio-analysis/4gRA0i5sxx3jAhHaVjPnUN,228327,4
14,2yBVeksU2EtrPJbTu4ZslK,What a Fool Believes,The Doobie Brothers,Minute by Minute,0.758,0.378,8,-15.308,0,0.0449,0.284,0.0,0.049,0.985,120.736,audio_features,spotify:track:2yBVeksU2EtrPJbTu4ZslK,https://api.spotify.com/v1/tracks/2yBVeksU2EtrPJbTu4ZslK,https://api.spotify.com/v1/audio-analysis/2yBVeksU2EtrPJbTu4ZslK,223867,4
15,0nP0hZVSLYsrgOFGHjvPnE,Hide U - Original Mix,Kosheen,Alternative Love,0.675,0.655,8,-5.342,1,0.0572,0.0127,0.12,0.111,0.327,170.024,audio_features,spotify:track:0nP0hZVSLYsrgOFGHjvPnE,https://api.spotify.com/v1/tracks/0nP0hZVSLYsrgOFGHjvPnE,https://api.spotify.com/v1/audio-analysis/0nP0hZVSLYsrgOFGHjvPnE,251440,4
16,648BMGrt98kUbLo24A4vgj,Hip To Be Square,Huey Lewis & The News,Fore!,0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000347,0.139,0.963,140.873,audio_features,spotify:track:648BMGrt98kUbLo24A4vgj,https://api.spotify.com/v1/tracks/648BMGrt98kUbLo24A4vgj,https://api.spotify.com/v1/audio-analysis/648BMGrt98kUbLo24A4vgj,245467,4
17,5UaB0lA47nZRJRrUk3AlEI,Evil Eye,Fu Manchu,The Action Is Go,0.378,0.934,7,-7.011,1,0.104,0.000222,0.817,0.313,0.493,82.962,audio_features,spotify:track:5UaB0lA47nZRJRrUk3AlEI,https://api.spotify.com/v1/tracks/5UaB0lA47nZRJRrUk3AlEI,https://api.spotify.com/v1/audio-analysis/5UaB0lA47nZRJRrUk3AlEI,210867,4
18,1Y2bmdezcb0NPhksn0Q4lk,Sleep Alone,Two Door Cinema Club,Beacon,0.521,0.759,0,-5.008,1,0.0419,0.000111,0.00292,0.0931,0.552,148.044,audio_features,spotify:track:1Y2bmdezcb0NPhksn0Q4lk,https://api.spotify.com/v1/tracks/1Y2bmdezcb0NPhksn0Q4lk,https://api.spotify.com/v1/audio-analysis/1Y2bmdezcb0NPhksn0Q4lk,236440,4
19,1CvDBfATEHdVPacxeTrtxh,Trick Pony,Charlotte Gainsbourg,IRM,0.692,0.855,5,-6.525,1,0.0466,0.12,0.0636,0.339,0.722,95.235,audio_features,spotify:track:1CvDBfATEHdVPacxeTrtxh,https://api.spotify.com/v1/tracks/1CvDBfATEHdVPacxeTrtxh,https://api.spotify.com/v1/audio-analysis/1CvDBfATEHdVPacxeTrtxh,171881,4
